title,genres,release_year,user_rating,keywords,director,description,poster_url,trailer_url,Action,Adventure,Animation,Comedy,Crime,Documentary,Drama,Family,Fantasy,History,Horror,Music,Mystery,Romance,Science Fiction,TV Movie,Thriller,Unknown,War,Western
Sikandar Ka Muqaddar,"['Thriller', 'Crime', 'Mystery', 'Action']",2024.0,0.6000000000000001,Unknown,Neeraj Pandey,"After an unsolved diamond heist, a hard-nosed cop’s pursuit of his key suspect turns into obsession, until they finally face each other — and the truth.",https://image.tmdb.org/t/p/w500/eWUh4rgxtgypgnOa6uGMnUt01ux.jpg,https://www.youtube.com/watch?v=sqoBgJiLQck,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
Sidelined: The QB and Me,"['Comedy', 'Romance', 'TV Movie']",2024.0,0.6400000000000001,"high school, based on novel or book, american football player",Justin Wu,"Dallas, a burdened but headstrong dancer, is determined to get into the best dance school in the country—her late mother’s alma mater. However, that dream is suddenly derailed when the cheeky yet secretly grieving football star, Drayton, crashes into her life with a unique story of his own. Will the two of them be able to grow into their dreams together, or will their dreams be sidelined?",https://image.tmdb.org/t/p/w500/hklQwv6QVoOp5bWyh1bjuF2ydyG.jpg,https://www.youtube.com/watch?v=S0gjQQepXRQ,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
Gladiator II,"['Action', 'Adventure', 'History']",2024.0,0.67,"epic, gladiator, roman empire, ancient rome, sequel, evil tyrant, sword and sandal, sword fighting, second part, commanding, mean spirited",Ridley Scott,"Years after witnessing the death of the revered hero Maximus at the hands of his uncle, Lucius is forced to enter the Colosseum after his home is conquered by the tyrannical Emperors who now lead Rome with an iron fist. With rage in his heart and the future of the Empire at stake, Lucius must look to his past to find strength and honor to return the glory of Rome to its people.",https://image.tmdb.org/t/p/w500/2cxhvwyEwRlysAmRH4iodkvo0z5.jpg,https://www.youtube.com/watch?v=TQwSz88ITAE,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Kraven the Hunter,"['Action', 'Adventure', 'Thriller']",2024.0,0.5599999999999999,"hunter, superhero, villain, based on comic, supervillain, antihero, sony's spider-man universe",J.C. Chandor,"Kraven Kravinoff's complex relationship with his ruthless gangster father, Nikolai, starts him down a path of vengeance with brutal consequences, motivating him to become not only the greatest hunter in the world, but also one of its most feared.",https://image.tmdb.org/t/p/w500/i47IUSsN126K11JUzqQIOi1Mg1M.jpg,https://www.youtube.com/watch?v=hR1-ihzff3I,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
GTMAX,"['Action', 'Crime', 'Drama']",2024.0,0.61,Unknown,Olivier Schneider,"When a notorious gang of bikers recruits her brother for a heist, a former motocross champion must face her deepest fears to keep her family safe.",https://image.tmdb.org/t/p/w500/bx92hl70NUhojjO3eV6LqKllj4L.jpg,https://www.youtube.com/watch?v=Zs0uKHrVRws,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Deadpool & Wolverine,"['Action', 'Comedy', 'Science Fiction']",2024.0,0.767,"hero, superhero, anti hero, mutant, breaking the fourth wall, aftercreditsstinger, duringcreditsstinger, marvel cinematic universe (mcu), mutants, superhero teamup",Shawn Levy,"A listless Wade Wilson toils away in civilian life with his days as the morally flexible mercenary, Deadpool, behind him. But when his homeworld faces an existential threat, Wade must reluctantly suit-up again with an even more reluctant Wolverine.",https://image.tmdb.org/t/p/w500/8cdWjvZQUExUUTzyp4t6EDMubfO.jpg,https://www.youtube.com/watch?v=Idh8n5XuYIA,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Wicked,"['Drama', 'Romance', 'Fantasy']",2024.0,0.7599,"witch, dancing, based on novel or book, college, wish, musical, female friendship, bullying, based on play or musical, prequel, singer, singing, corrupt politician, death in childbirth, fantasy world, wizard, gravity, discrimination, ostracism, woman in wheelchair, musical comedy, sister sister relationship, belonging, fantasy, romantic fantasy, fantasy comedy, empathetic, euphoric, oz",Jon M. Chu,"In the land of Oz, ostracized and misunderstood green-skinned Elphaba is forced to share a room with the popular aristocrat Glinda at Shiz University, and the two's unlikely friendship is tested as they begin to fulfill their respective destinies as Glinda the Good and the Wicked Witch of the West.",https://image.tmdb.org/t/p/w500/xDGbZ0JJ3mYaGKy4Nzd9Kph6M9L.jpg,https://www.youtube.com/watch?v=pqi45Qhq3CI,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0
The Substance,"['Horror', 'Science Fiction']",2024.0,0.7200000000000001,"new year's eve, capitalism, black market, identity, beauty, satire, aging, celebrity, female protagonist, los angeles, california, syringe, has been, aerobics, disfigurement, woman director, curious, beauty standards, insecure woman, toxic masculinity, drug, body horror, youth, actress, critical",Coralie Fargeat,"A fading celebrity decides to use a black market drug, a cell-replicating substance that temporarily creates a younger, better version of herself.",https://image.tmdb.org/t/p/w500/lqoMzCcZYEFK729d6qzt349fB4o.jpg,https://www.youtube.com/watch?v=lR5nlovVgvQ,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
Smile 2,"['Horror', 'Mystery']",2024.0,0.6585000000000001,"drug dealer, new york city, suicide, concert, delusion, trauma, hallucination, addiction, sequel, murder, curse, car accident, scar, demon, guilt, pop music, evil, sobriety, self-harm, delusional, popstar, smile, supernatural horror, body horror, absurd, tour",Parker Finn,"About to embark on a new world tour, global pop sensation Skye Riley begins experiencing increasingly terrifying and inexplicable events. Overwhelmed by the escalating horrors and the pressures of fame, Skye is forced to face her dark past to regain control of her life before it spirals out of control.",https://image.tmdb.org/t/p/w500/ht8Uv9QPv9y7K0RvUyJIaXOZTfd.jpg,https://www.youtube.com/watch?v=FU_bAopCcSE,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
Weekend in Taipei,"['Action', 'Adventure', 'Thriller']",2024.0,0.6200000000000001,Unknown,George Huang,"A former DEA agent and a former undercover operative revisit their romance during a fateful weekend in Taipei, unaware of the dangerous consequences of their past.",https://image.tmdb.org/t/p/w500/qSc0AUvs8mRy00R9y8QYEHWIAQ9.jpg,https://www.youtube.com/watch?v=qHEOODPZD-w,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Arena Wars,"['Action', 'Science Fiction', 'Thriller', 'Comedy', 'Horror']",2024.0,0.54,low budget,Brandon Slagle,"In 2045 convicted criminals are given the opportunity to compete on the world's #1 televised sporting event, Arena Wars. They must survive 7 rooms and 7 of the most vicious killers in the country. If they win, they regain their freedom.",https://image.tmdb.org/t/p/w500/4dRtXjk1rcsZlaMJpBn6Nh9cTfO.jpg,https://www.youtube.com/watch?v=gyoaINeYGzI,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0
Apocalypse Z: The Beginning of the End,"['Drama', 'Action', 'Horror']",2024.0,0.6900000000000001,"based on novel or book, cat, human animal relationship, galicia, spain, contagion spread, zombie, neighbor neighbor relationship, zombie apocalypse, traumatized man",Carles Torrens,"When a kind of rabies that transforms people into aggressive creatures spreads across the planet, Manel isolates himself at home with his cat, relying on his wits to survive; but soon they must go out in search of food, by land and by sea, dodging many dangers.",https://image.tmdb.org/t/p/w500/wIGJnIFQlESkC2rLpfA8EDHqk4g.jpg,https://www.youtube.com/watch?v=zeQXjn3JJ-A,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
Heretic,"['Horror', 'Thriller']",2024.0,0.7000000000000001,"faith, religion, cat and mouse, mormon missionary, eccentric man, women of faith, ominous",Scott Beck,"Two young missionaries are forced to prove their faith when they knock on the wrong door and are greeted by a diabolical Mr. Reed, becoming ensnared in his deadly game of cat-and-mouse.",https://image.tmdb.org/t/p/w500/5HJqjCTcaE1TFwnNh3Dn21be2es.jpg,https://www.youtube.com/watch?v=jpWUOxRozZg,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
Terrifier 3,"['Horror', 'Thriller']",2024.0,0.68,"monster, post-traumatic stress disorder (ptsd), angel, shower, child murder, santa claus, college, clown, bartender, gore, dormitory, sequel, serial killer, teenage girl, slasher, chainsaw, massacre, mental illness, disfigured face, mental asylum, cousin cousin relationship, mall santa, killer clown, terrorist bombing, christmas horror, evil clown, christmas spirit, christmas, murder of parents, orphan siblings, supernatural power, death of a child, supernatural horror, splatter, bar, bloody, independent film, blood, low budget, megaslasher, scary, bewildered, serial killers",Damien Leone,"Five years after surviving Art the Clown's Halloween massacre, Sienna and Jonathan are still struggling to rebuild their shattered lives. As the holiday season approaches, they try to embrace the Christmas spirit and leave the horrors of the past behind. But just when they think they're safe, Art returns, determined to turn their holiday cheer into a new nightmare. The festive season quickly unravels as Art unleashes his twisted brand of terror, proving that no holiday is safe.",https://image.tmdb.org/t/p/w500/ju10W5gl3PPK3b7TjEmVOZap51I.jpg,https://www.youtube.com/watch?v=0EDDtgWnSeY,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
Pimpinero: Blood and Oil,"['Action', 'Crime', 'Drama']",2024.0,0.7400000000000001,Unknown,Andrés Baiz,"When Juan, a young gasoline smuggler, is forced to work for a mysterious organization in the desert bordering Colombia and Venezuela, his girlfriend Diana embarks on a journey to uncover the secrets that inhabit this no-man’s-land.",https://image.tmdb.org/t/p/w500/kukotsflOSVGXQezuXohj41dbfL.jpg,https://www.youtube.com/watch?v=g8HrGG4jmRQ,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Alien: Romulus,"['Horror', 'Science Fiction']",2024.0,0.7200000000000001,"alien life-form, alien, space, alien contact, alien monster, alien encounter, space capsule, alien hostility, dramatic, cliché, melodramatic",Fede Álvarez,"While scavenging the deep ends of a derelict space station, a group of young space colonizers come face to face with the most terrifying life form in the universe.",https://image.tmdb.org/t/p/w500/b33nnKl1GSFbao4l3fZDDqsMx0F.jpg,https://www.youtube.com/watch?v=x0XDEhP4MQs,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
Levels,"['Action', 'Science Fiction', 'Thriller']",2024.0,0.58,Unknown,Adam Stern,"After witnessing his girlfriend's murder, a man risks everything - including reality itself - to discover the truth.",https://image.tmdb.org/t/p/w500/y1xm0jMIlx9Oo2a3jWNyLGm43sJ.jpg,https://www.youtube.com/watch?v=cCggBmznfTA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
Inside Out 2,"['Animation', 'Adventure', 'Comedy', 'Drama', 'Family']",2024.0,0.76,"sadness, disgust, sequel, computer animation, teenage girl, fear, anger, envy, burlesque, aftercreditsstinger, duringcreditsstinger, emotions, embarrasment, joy, anxiety, instructive",Kelsey Mann,"Teenager Riley's mind headquarters is undergoing a sudden demolition to make room for something entirely unexpected: new Emotions! Joy, Sadness, Anger, Fear and Disgust, who’ve long been running a successful operation by all accounts, aren’t sure how to feel when Anxiety shows up. And it looks like she’s not alone.",https://image.tmdb.org/t/p/w500/vpnVM9B6NMmQpWeZvzLvDESb2QY.jpg,https://www.youtube.com/watch?v=u69y5Ie519M,0,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Hunting With Tigers,"['Action', 'Thriller']",2024.0,0.6156,Unknown,Jérémie Guez,"Malik, a young Parisian hustler, discovers that his stepfather Serge, a famous bank robber, has been arrested along with his accomplices. During the trial, Iris, one of the accused's lawyers, Chérif, requests Malik to accept a dangerous heist in exchange for Serge and her client's liberty. Malik must convince and reunite Chérif's former partners to accomplish this high-risk stickup.",https://image.tmdb.org/t/p/w500/vb6qzT0egUPHcmUwusPNl9j943p.jpg,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Mufasa: The Lion King,"['Adventure', 'Family', 'Drama', 'Animation']",2024.0,0.9500000000000001,"musical, prequel, told in flashback",Barry Jenkins,"Rafiki relays the legend of Mufasa to lion cub Kiara, daughter of Simba and Nala, with Timon and Pumbaa lending their signature schtick. Told in flashbacks, the story introduces Mufasa as an orphaned cub, lost and alone until he meets a sympathetic lion named Taka—the heir to a royal bloodline. The chance meeting sets in motion a journey of misfits searching for their destiny and working together to evade a threatening and deadly foe.",https://image.tmdb.org/t/p/w500/lurEK87kukWNaHd0zYnsi3yzJrs.jpg,https://www.youtube.com/watch?v=lMXh6vjiZrI,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Transformers One,"['Animation', 'Science Fiction', 'Adventure', 'Family']",2024.0,0.81,"based on toy, giant robot, aftercreditsstinger, duringcreditsstinger, buddy movie, brothers-in-arms relationship, origin story, friends to enemies, alien robot, absurd, ambiguous",Josh Cooley,"The untold origin story of Optimus Prime and Megatron, better known as sworn enemies, but once were friends bonded like brothers who changed the fate of Cybertron forever.",https://image.tmdb.org/t/p/w500/qbkAqmmEIZfrCO8ZQAuIuVMlWoV.jpg,https://www.youtube.com/watch?v=jaVcDaozGgc,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
Despicable Me 4,"['Animation', 'Family', 'Comedy', 'Action']",2024.0,0.7079,"superhero, villain, sequel, super villain, calm, illumination, kids, hilarious",Chris Renaud,"Gru and Lucy and their girls—Margo, Edith and Agnes—welcome a new member to the Gru family, Gru Jr., who is intent on tormenting his dad. Gru also faces a new nemesis in Maxime Le Mal and his femme fatale girlfriend Valentina, forcing the family to go on the run.",https://image.tmdb.org/t/p/w500/wWba3TaojhK7NdycRhoQpsG0FaH.jpg,https://www.youtube.com/watch?v=LtNYaH61dXY,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
The Moor,"['Horror', 'Mystery', 'Drama']",2024.0,0.45,moor,Chris Cronin,Claire is approached by the father of her murdered childhood friend to help investigate the haunted moor he believes is his son's final resting place.,https://image.tmdb.org/t/p/w500/xZ9kdSBEoJNkzZPvQOVzS1uLMk6.jpg,https://www.youtube.com/watch?v=XyJtymhLwT0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0
Solo Leveling -ReAwakening-,"['Action', 'Adventure', 'Fantasy', 'Animation']",2024.0,0.81,"edited from tv series, anime, based on webcomic or webtoon, based on manhwa",Shunsuke Nakashige,"Over a decade after 'gates' connecting worlds appeared, awakening 'hunters' with superpowers, weakest hunter Sung Jinwoo encounters a double dungeon and accepts a mysterious quest, becoming the only one able to level up, changing his fate. A catch-up recap of the first season coupled with an exclusive sneak peek of the first two episodes of the highly anticipated second season in one momentous theatrical fan experience.",https://image.tmdb.org/t/p/w500/uzHMp5heVLR68kbbUEXFPsmxYsM.jpg,https://www.youtube.com/watch?v=UdIXUDpeTXU,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Knox Goes Away,"['Crime', 'Thriller', 'Action']",2024.0,0.6900000000000001,"hitman, investigation, dementia, police investigation, father daughter conflict, father son relationship, job gone wrong",Michael Keaton,"A contract killer, after being diagnosed with a fast-moving form of dementia, is presented with the opportunity to redeem himself by saving the life of his estranged adult son. But to do so, he must race against the police closing in on him as well as the ticking clock of his own rapidly deteriorating mind.",https://image.tmdb.org/t/p/w500/w39qKYjltCix18BwtoZ1e45usdb.jpg,https://www.youtube.com/watch?v=UiMNmOajf-E,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
My Fault,"['Romance', 'Drama']",2023.0,0.7916000000000001,Unknown,Domingo González,"Noah must leave her city, boyfriend, and friends to move into William Leister's mansion, the flashy and wealthy husband of her mother Rafaela. As a proud and independent 17 year old, Noah resists living in a mansion surrounded by luxury. However, it is there where she meets Nick, her new stepbrother, and the clash of their strong personalities becomes evident from the very beginning.",https://image.tmdb.org/t/p/w500/w46Vw536HwNnEzOa7J24YH9DPRS.jpg,https://www.youtube.com/watch?v=xY-qRGC6Yu0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
Classified,"['Action', 'Thriller']",2024.0,0.5900000000000001,"hitman, mi6, long lost daughter, cia agent",Roel Reiné,"Operating alone in the field for more than 20 years, a CIA hitman uses the ""Help Wanted"" section of the newspapers to get his orders from the Agency. His long-lost daughter, now a UK MI6 analyst, tracks him down to deliver shocking news: his CIA boss has been dead for years and the division long since shut down. Together, they set out to discover whose orders he's been executing.",https://image.tmdb.org/t/p/w500/3k8jv1kSAAc0rCfFGtWDDQL4dfK.jpg,https://www.youtube.com/watch?v=klTtuOaNdG4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Sonic the Hedgehog 3,"['Adventure', 'Comedy', 'Family', 'Science Fiction']",2024.0,0.0,"sequel, based on video game, hedgehog, live action and animation, sonic cinematic universe",Jeff Fowler,"Sonic, Knuckles, and Tails reunite against a powerful new adversary, Shadow, a mysterious villain with powers unlike anything they have faced before. With their abilities outmatched in every way, Team Sonic must seek out an unlikely alliance in hopes of stopping Shadow and protecting the planet.",https://image.tmdb.org/t/p/w500/d8Ryb8AunYAuycVKDp5HpdWPKgC.jpg,https://www.youtube.com/watch?v=LH1J1EbqCaI,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
Spellbound,"['Animation', 'Fantasy', 'Family', 'Adventure', 'Comedy']",2024.0,0.6861,"magic, kingdom, musical, 3d animation, adoring",Vicky Jenson,"When a powerful spell turns her parents into giant monsters, a teenage princess must journey into the wild to reverse the curse before it's too late.",https://image.tmdb.org/t/p/w500/xFSIygDiX70Esp9dheCgGX0Nj77.jpg,https://www.youtube.com/watch?v=jGQiq1ZuCW8,0,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
Arcadian,"['Action', 'Horror', 'Thriller', 'Science Fiction']",2024.0,0.6126,"survival, fear, family, isolated farmhouse, calm, relaxed, post apocalypse, anxiety, science fiction, post-apocalyptic",Benjamin Brewer,"In the near future, on a decimated Earth, Paul and his twin sons face terror at night when ferocious creatures awaken. When Paul is nearly killed, the boys come up with a plan for survival, using everything their father taught them to keep him alive.",https://image.tmdb.org/t/p/w500/spWV1eRzlDxvai8LbxwAWR0Vst4.jpg,https://www.youtube.com/watch?v=HNARuSROxbM,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0
Cash Out,"['Action', 'Thriller']",2024.0,0.6400000000000001,"police, gangster, fbi, bank heist, bank job, hostages",Randall Emmett,"Criminal mastermind Mason is about to execute the score of a lifetime when his lover and key member of his crew, Decker, takes the team down and reveals she’s an undercover Interpol agent. Heartbroken, Mason escapes and retires from the life of crime until his younger brother Shawn is out of his league taking on a big bank heist all on his own. Mason has no choice left but to come to the rescue, while Interpol brings Decker in hoping to unnerve him. Before the SWAT teams storm the bank, Mason must use every tool in his arsenal to not only escape with the prize, but also the love of his life.",https://image.tmdb.org/t/p/w500/xBJnIvRdL0nDHgvivr6EgBQizes.jpg,https://www.youtube.com/watch?v=Vt7rHUkoM08,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Mary,"['Drama', 'History', 'Action']",2024.0,0.6328,"coming of age, jesus christ, jesus",D.J. Caruso,A miraculous conception. A merciless king. A murderous pursuit. Mary's journey to give birth to Jesus unfolds in this biblical coming-of-age epic.,https://image.tmdb.org/t/p/w500/intUJJZ4PzuRITtidCSOVhtB8aO.jpg,https://www.youtube.com/watch?v=d74vHvsACSs,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
Survive,"['Thriller', 'Adventure', 'Action', 'Science Fiction']",2024.0,0.5900000000000001,Unknown,Frédéric Jardin,A couple celebrates their son’s birthday in the middle of the ocean on their boat. A violent storm hits and it brings up hungry creatures from the depths and they fight for their survival.,https://image.tmdb.org/t/p/w500/7fR3KxswtY8OHHZuOUB9td58CRX.jpg,https://www.youtube.com/watch?v=fnMO7zSitto,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
How the Grinch Stole Christmas,"['Family', 'Comedy', 'Fantasy']",2000.0,0.6767000000000001,"new love, based on novel or book, holiday, christmas party, village, santa claus, surrealism, thief, public humiliation, christmas, surreal world, hilarious, cheerful",Ron Howard,The Grinch decides to rob Whoville of Christmas - but a dash of kindness from little Cindy Lou Who and her family may be enough to melt his heart...,https://image.tmdb.org/t/p/w500/AmUs3hximCKa90sHuIRr5Bz8ci5.jpg,https://www.youtube.com/watch?v=myTaigPrbsg,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
The Count of Monte Cristo,"['Action', 'Adventure', 'Drama']",2024.0,0.819,"based on novel or book, count, revenge, wrongful conviction, angry, cheerful, cruel, demeaning",Alexandre de La Patellière,"Edmond Dantes becomes the target of a sinister plot and is arrested on his wedding day for a crime he did not commit. After 14 years in the island prison of Château d’If, he manages a daring escape. Now rich beyond his dreams, he assumes the identity of the Count of Monte-Cristo and exacts his revenge on the three men who betrayed him.",https://image.tmdb.org/t/p/w500/7O0WDGsa4lBzqv3uaB1tp8UvFK3.jpg,https://www.youtube.com/watch?v=8Q6y1waxlTY,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Wake Up,"['Horror', 'Thriller', 'Action']",2024.0,0.7403,"slasher, home invasion, revenge murderer, young activists",François Simard,"A group of young activists set out to make an environmental statement by vandalizing a home superstore as it closes. But their plan goes terribly wrong when they become trapped inside and must face a deranged security guard with a gruesome passion for primitive hunting. As the night fills with violence and terror, the teenagers find themselves in a desperate fight for their lives.",https://image.tmdb.org/t/p/w500/erEAU7ygq2XFjziI3FpAdMajJFZ.jpg,https://www.youtube.com/watch?v=spMtApMBA8U,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
